IcdCode,Complete_RD,Unique_RD
A02.8,yes,yes
A03.9,yes,yes
A07.2,yes,yes
A15.1,yes,yes
A15.2,yes,yes
A15.3,yes,yes
A19.2,yes,yes
A20.1,yes,yes
A21.0,yes,yes
A21.8,yes,yes
A23.8,yes,yes
A30.8,yes,yes
A32.0,yes,yes
A32.7,yes,yes
A32.8+,yes,yes
A36.1,yes,yes
A37.8,yes,yes
A42.0,yes,yes
A42.2,yes,yes
A42.8,yes,yes
A43.0,yes,yes
A43.1,yes,yes
A48.3,yes,yes
A80.0,yes,yes
A80.1,yes,yes
A80.2,yes,yes
A82.0,yes,yes
A82.1,yes,yes
A83.1,yes,yes
A83.2,yes,yes
A92.0,yes,yes
A92.4,yes,yes
A95.0,yes,yes
A95.1,yes,yes
A96.2,yes,yes
A97.0,yes,yes
A97.1,yes,yes
A97.2,yes,yes
A98.1,yes,yes
A98.3,yes,yes
A98.4,yes,yes
B38.3+,yes,yes
B38.8+,yes,yes
B39.3,yes,yes
B42.7,yes,yes
B42.8+,yes,yes
B60.1,yes,yes
B66.9,yes,yes
B78.1+,yes,yes
B78.7,yes,yes
B78.9,yes,yes
B83.0,yes,yes
B87.0,yes,no
C22.2,yes,yes
C45.0,yes,yes
C46.1,yes,yes
C46.2,yes,yes
C46.3,yes,yes
C46.7,yes,yes
C46.8,yes,yes
C82.3,yes,yes
C82.4,yes,yes
C82.5,yes,yes
C82.6,yes,no
C82.7,yes,yes
C84.5,yes,no
C84.7,yes,yes
C86.1,yes,yes
C86.3,yes,yes
C86.4,yes,yes
C91.40,yes,no
C92.80,yes,yes
C93.30,yes,yes
C94.70,yes,no
C96.9+,yes,yes
D46.2,yes,no
D46.4,yes,yes
D46.7,yes,no
D47.2+,yes,yes
D47.5,yes,no
D51.2,yes,yes
D56.0,yes,no
D56.2,yes,yes
D61.3,yes,yes
D68.01,yes,yes
D69.53,yes,yes
D81.3,yes,yes
D81.4,yes,yes
D81.5,yes,yes
D81.7,yes,yes
D82.0,yes,yes
D82.8,yes,no
D86.1,yes,yes
D86.2,yes,yes
D89.8,yes,no
E07.1+,yes,yes
E13.60,yes,yes
E13.72,yes,no
E27.2,yes,yes
E34.50,yes,yes
E51.8+,yes,yes
E66.29+,yes,yes
E71.1+,yes,yes
E74.8+,yes,no
E77.8,yes,no
E78.8+,yes,yes
E79.1,yes,yes
E79.9,yes,no
E83.50,yes,yes
E83.8,yes,no
E84.0,yes,yes
E84.1,yes,yes
E84.1+,yes,yes
E84.80,yes,yes
E84.87,yes,yes
E84.88+,yes,yes
E84.9,yes,yes
E84.9+,yes,yes
F80.3,yes,yes
F84.2,yes,no
G00.1,yes,yes
G11.1+,yes,yes
G11.8,yes,no
G14,yes,yes
G20.91,yes,yes
G31.81+,yes,yes
G37.8+,yes,yes
G51.2,yes,yes
G54.8,yes,no
G71.3,yes,no
G83.5,yes,yes
G90.79,yes,yes
H35.8+,yes,yes
H90.5+,yes,yes
I27.20,yes,yes
J67.7,yes,yes
K00.5+,yes,yes
K03.5,yes,yes
K52.38,yes,yes
K62.7,yes,yes
K83.00,yes,no
K83.01,yes,no
L10.4,yes,yes
L12.3,yes,yes
L13.1,yes,yes
L57.1,yes,yes
L60.5,yes,yes
L68.9,yes,yes
L72.2,yes,no
L90.1,yes,yes
L90.2,yes,yes
L93.2,yes,no
L94.8,yes,yes
L98.3,yes,yes
M02.30,yes,yes
M02.31,yes,yes
M02.32,yes,yes
M02.33,yes,yes
M02.34,yes,yes
M02.35,yes,yes
M02.36,yes,yes
M02.37,yes,yes
M02.38,yes,yes
M05.01,yes,yes
M05.02,yes,yes
M05.03,yes,yes
M05.04,yes,yes
M05.05,yes,yes
M05.06,yes,yes
M05.07,yes,yes
M05.08,yes,yes
M06.10,yes,yes
M06.11,yes,yes
M06.12,yes,yes
M06.13,yes,yes
M06.14,yes,yes
M06.15,yes,yes
M06.16,yes,yes
M06.17,yes,yes
M06.18,yes,yes
M06.89,yes,yes
M08.89,yes,yes
M08.90,yes,yes
M31.8,yes,yes
M32.0,yes,yes
M32.8,yes,yes
M34.1,yes,yes
M35.8+,yes,no
M72.40,yes,yes
M72.41,yes,yes
M72.42,yes,yes
M72.43,yes,yes
M72.44,yes,yes
M72.45,yes,yes
M72.46,yes,yes
M72.47,yes,yes
M72.48,yes,yes
M72.49,yes,yes
M72.80,yes,yes
M85.00,yes,yes
M85.01,yes,yes
M85.02,yes,yes
M85.03,yes,yes
M85.04,yes,yes
M85.05,yes,yes
M85.06,yes,yes
M85.07,yes,yes
M85.08,yes,yes
M85.31,yes,yes
M85.42,yes,yes
M85.43,yes,yes
M85.44,yes,yes
M85.45,yes,yes
M85.46,yes,yes
M85.47,yes,yes
M85.49,yes,yes
M85.59,yes,yes
M85.81,yes,yes
M86.30,yes,yes
M86.39,yes,no
M87.10,yes,no
M87.11,yes,yes
M87.12,yes,yes
M87.13,yes,yes
M87.14,yes,yes
M87.15,yes,no
M87.16,yes,yes
M87.17,yes,yes
M87.18,yes,yes
M87.19,yes,no
M87.20,yes,yes
M87.21,yes,yes
M87.22,yes,yes
M87.23,yes,yes
M87.24,yes,yes
M87.25,yes,yes
M87.26,yes,yes
M87.27,yes,yes
M87.35,yes,yes
M87.85,yes,yes
M89.48,yes,yes
M89.58,yes,yes
M91.1,yes,yes
M93.0,yes,yes
M93.29,yes,no
N05.5,yes,yes
N07.6,yes,no
N07.8,yes,yes
N25.1,yes,yes
O26.60,yes,yes
P35.2,yes,yes
P57.8,yes,yes
P74.5,yes,yes
Q01.0,yes,yes
Q01.1,yes,yes
Q01.2,yes,yes
Q04.4,yes,yes
Q04.5,yes,no
Q06.2,yes,no
Q20.2,yes,yes
Q22.6,yes,no
Q24.2,yes,no
Q24.6,yes,yes
Q28.18,yes,yes
Q28.21,yes,no
Q28.28,yes,no
Q31.5,yes,yes
Q32.0,yes,yes
Q45.1,yes,yes
Q51.0,yes,yes
Q51.4,yes,no
Q54.2,yes,yes
Q54.3,yes,yes
Q61.5+,yes,yes
Q68.3,yes,yes
Q68.5,yes,yes
Q70.4,yes,no
Q71.2,yes,yes
Q73.1,yes,yes
Q77.0,yes,no
Q77.5,yes,no
Q80.1,yes,no
Q81.0+,yes,yes
Q82.08,yes,no
Q84.3,yes,no
Q86.80,yes,yes
Q87.3,yes,no
Q87.5,yes,no
Q90.0,yes,yes
Q90.1,yes,yes
Q92.7,yes,no
Q96.8,yes,yes
T51.1,yes,yes
T57.2,yes,yes
T85.78+,yes,yes
T86.01,yes,yes
T86.02,yes,yes
T86.05,yes,yes
T86.06,yes,yes
T86.07,yes,yes
T86.09,yes,yes
T88.3,yes,yes
U04.9,yes,yes
