IcdCode,Complete_RD,Unique_RD,Type,Quelle
A48.3,yes,yes,1-1,"CORD-MI List, Alpha-ID-SE"
D89.8,yes,no,1-n,"CORD-MI List, Alpha-ID-SE"
E74.0,no,no,n-m,"CORD-MI List, Vorbereitende DQM-Vollständigkeitstracer"
E75.0,no,no,n-m,"CORD-MI List, Vorbereitende DQM-Vollständigkeitstracer"
E75.2,no,no,n-m,"CORD-MI List, Vorbereitende DQM-Vollständigkeitstracer"
G12.1,no,no,n-m,"CORD-MI List, Vorbereitende DQM-Vollständigkeitstracer"
G71.0,no,no,n-m,"CORD-MI List, Vorbereitende DQM-Vollständigkeitstracer"
Q75.0,no,no,n-m,"CORD-MI List, Vorbereitende DQM-Vollständigkeitstracer"
D86.1,yes,yes,n-1,"CORD-MI Liste, Alpha-ID-SE, Hamburger Liste"
D86.2,yes,yes,n-1,"CORD-MI Liste, Alpha-ID-SE, Hamburger Liste"
E84.0,yes,yes,n-1,"CORD-MI Liste, Alpha-ID-SE, Hamburger Liste"
E84.1,yes,yes,n-1,"CORD-MI Liste, Alpha-ID-SE, Hamburger Liste"
E84.80,yes,yes,n-1,"CORD-MI Liste, Alpha-ID-SE, Hamburger Liste"
E84.87,yes,yes,n-1,"CORD-MI Liste, Alpha-ID-SE, Hamburger Liste"
E84.9,yes,yes,n-1,"CORD-MI Liste, Alpha-ID-SE, Hamburger Liste"
F84.2,yes,no,1-n,"CORD-MI Liste, Alpha-ID-SE, Hamburger Liste"
K62.7,yes,yes,1-1,"CORD-MI Liste, Alpha-ID-SE, Hamburger Liste"
M34.1,yes,yes,1-1,"CORD-MI Liste, Alpha-ID-SE, Hamburger Liste"
Q28.21,yes,no,1-n,"CORD-MI Liste, Alpha-ID-SE, Hamburger Liste"
Q80.1,yes,no,1-n,"CORD-MI Liste, Alpha-ID-SE, Hamburger Liste"
Q96.8,yes,yes,n-1,"CORD-MI Liste, Alpha-ID-SE, Hamburger Liste"
E83.50,yes,yes,1-1,"CORD-MI Liste, Alpha-ID-SE, Hamburger Liste"
D18.10,yes,yes,n-1,"CORD-MI Liste, Hamburger Liste"
D18.11,yes,yes,n-1,"CORD-MI Liste, Hamburger Liste"
D18.12,yes,yes,n-1,"CORD-MI Liste, Hamburger Liste"
D18.13,yes,yes,n-1,"CORD-MI Liste, Hamburger Liste"
D18.18,yes,yes,n-1,"CORD-MI Liste, Hamburger Liste"
D18.19,yes,yes,n-1,"CORD-MI Liste, Hamburger Liste"
D45,yes,yes,1-1,"CORD-MI Liste, Hamburger Liste"
D47.3,yes,yes,1-1,"CORD-MI Liste, Hamburger Liste"
D57.0,yes,yes,n-1,"CORD-MI Liste, Hamburger Liste"
D57.1,yes,yes,n-1,"CORD-MI Liste, Hamburger Liste"
D57.2,yes,yes,n-1,"CORD-MI Liste, Hamburger Liste"
D58.1,yes,yes,1-1,"CORD-MI Liste, Hamburger Liste"
D82.1,yes,yes,1-1,"CORD-MI Liste, Hamburger Liste"
D83.0,yes,yes,n-1,"CORD-MI Liste, Hamburger Liste"
D83.1,yes,yes,n-1,"CORD-MI Liste, Hamburger Liste"
D83.2,yes,yes,n-1,"CORD-MI Liste, Hamburger Liste"
D83.8,yes,yes,n-1,"CORD-MI Liste, Hamburger Liste"
D83.9,yes,yes,n-1,"CORD-MI Liste, Hamburger Liste"
D86.0,yes,yes,n-1,"CORD-MI Liste, Hamburger Liste"
D86.3,yes,yes,n-1,"CORD-MI Liste, Hamburger Liste"
D86.8,yes,yes,n-1,"CORD-MI Liste, Hamburger Liste"
D86.9,yes,yes,n-1,"CORD-MI Liste, Hamburger Liste"
E03.0,yes,yes,n-1,"CORD-MI Liste, Hamburger Liste"
E03.1,yes,yes,n-1,"CORD-MI Liste, Hamburger Liste"
E24.0,yes,yes,1-1,"CORD-MI Liste, Hamburger Liste"
E70.0,yes,yes,1-1,"CORD-MI Liste, Hamburger Liste"
E71.0,yes,yes,1-1,"CORD-MI Liste, Hamburger Liste"
E80.1,yes,yes,1-1,"CORD-MI Liste, Hamburger Liste"
E83.0,yes,yes,1-1,"CORD-MI Liste, Hamburger Liste"
E83.30,yes,yes,1-1,"CORD-MI Liste, Hamburger Liste"
E84.88,yes,yes,n-1,"CORD-MI Liste, Hamburger Liste"
E85.3,yes,yes,1-1,"CORD-MI Liste, Hamburger Liste"
G10,yes,yes,1-1,"CORD-MI Liste, Hamburger Liste"
G11.4,yes,yes,1-1,"CORD-MI Liste, Hamburger Liste"
G21.0,yes,yes,1-1,"CORD-MI Liste, Hamburger Liste"
G23.1,yes,yes,1-1,"CORD-MI Liste, Hamburger Liste"
G54.5,yes,yes,1-1,"CORD-MI Liste, Hamburger Liste"
G61.0,yes,yes,1-1,"CORD-MI Liste, Hamburger Liste"
G70.0,yes,yes,1-1,"CORD-MI Liste, Hamburger Liste"
G71.2,yes,yes,1-1,"CORD-MI Liste, Hamburger Liste"
H35.1,yes,yes,1-1,"CORD-MI Liste, Hamburger Liste"
I42.80,yes,yes,1-1,"CORD-MI Liste, Hamburger Liste"
I73.1,yes,yes,1-1,"CORD-MI Liste, Hamburger Liste"
I78.0,yes,yes,1-1,"CORD-MI Liste, Hamburger Liste"
K74.3,yes,yes,1-1,"CORD-MI Liste, Hamburger Liste"
K76.5,yes,yes,n-1,"CORD-MI Liste, Hamburger Liste"
L10.0,yes,yes,1-1,"CORD-MI Liste, Hamburger Liste"
L13.0,yes,yes,1-1,"CORD-MI Liste, Hamburger Liste"
L56.3,yes,yes,1-1,"CORD-MI Liste, Hamburger Liste"
L63.0,yes,yes,1-1,"CORD-MI Liste, Hamburger Liste"
L63.1,yes,yes,1-1,"CORD-MI Liste, Hamburger Liste"
L93.1,yes,yes,1-1,"CORD-MI Liste, Hamburger Liste"
M08.3,yes,yes,1-1,"CORD-MI Liste, Hamburger Liste"
M09.00,yes,yes,n-1,"CORD-MI Liste, Hamburger Liste"
M09.01,yes,yes,n-1,"CORD-MI Liste, Hamburger Liste"
M09.02,yes,yes,n-1,"CORD-MI Liste, Hamburger Liste"
M09.03,yes,yes,n-1,"CORD-MI Liste, Hamburger Liste"
M09.04,yes,yes,n-1,"CORD-MI Liste, Hamburger Liste"
M09.05,yes,yes,n-1,"CORD-MI Liste, Hamburger Liste"
M09.06,yes,yes,n-1,"CORD-MI Liste, Hamburger Liste"
M09.07,yes,yes,n-1,"CORD-MI Liste, Hamburger Liste"
M09.08,yes,yes,n-1,"CORD-MI Liste, Hamburger Liste"
M09.09,yes,yes,n-1,"CORD-MI Liste, Hamburger Liste"
M30.0,yes,yes,1-1,"CORD-MI Liste, Hamburger Liste"
M33.0,yes,yes,n-1,"CORD-MI Liste, Hamburger Liste"
M33.1,yes,yes,n-1,"CORD-MI Liste, Hamburger Liste"
M33.2,yes,yes,1-1,"CORD-MI Liste, Hamburger Liste"
M35.2,yes,yes,1-1,"CORD-MI Liste, Hamburger Liste"
M93.2,yes,yes,1-1,"CORD-MI Liste, Hamburger Liste"
P27.1,yes,yes,1-1,"CORD-MI Liste, Hamburger Liste"
Q00.1,yes,yes,1-1,"CORD-MI Liste, Hamburger Liste"
Q04.2,yes,yes,1-1,"CORD-MI Liste, Hamburger Liste"
Q05.5,yes,yes,n-1,"CORD-MI Liste, Hamburger Liste"
Q05.6,yes,yes,n-1,"CORD-MI Liste, Hamburger Liste"
Q05.7,yes,yes,n-1,"CORD-MI Liste, Hamburger Liste"
Q05.8,yes,yes,n-1,"CORD-MI Liste, Hamburger Liste"
Q17.2,yes,yes,1-1,"CORD-MI Liste, Hamburger Liste"
Q20.3,yes,yes,1-1,"CORD-MI Liste, Hamburger Liste"
Q21.3,yes,yes,1-1,"CORD-MI Liste, Hamburger Liste"
Q22.4,yes,yes,1-1,"CORD-MI Liste, Hamburger Liste"
Q22.5,yes,yes,1-1,"CORD-MI Liste, Hamburger Liste"
Q23.4,yes,yes,1-1,"CORD-MI Liste, Hamburger Liste"
